,ISBN,item,label,authorlabel,authorlabel2,numWikipediaLanguages
105,9788806224073,http://www.wikidata.org/entity/Q7728596,La verità sul caso D.,,Carlo Fruttero,2
106,9788877831095,http://www.wikidata.org/entity/Q7751673,Il fabbricante di specchi,,Primo Levi,2
107,9788804667964,http://www.wikidata.org/entity/Q3892820,Palomar (romanzo),,Italo Calvino,2
108,9788884515995,http://www.wikidata.org/entity/Q3222166,L'ultimo orco,,Silvana De Mari,2
109,9788886826006,http://www.wikidata.org/entity/Q16514636,L'aquilone (romanzo),,Tonino Guerra,2
110,9788806170196,http://www.wikidata.org/entity/Q3795012,Il paese dove non si muore mai,,Ornela Vorpsi,2
111,9788806207250,http://www.wikidata.org/entity/Q3660823,Carta bianca (Lucarelli),,Carlo Lucarelli,2
112,9788806184384,http://www.wikidata.org/entity/Q2839151,Almost Blue (romanzo),,Carlo Lucarelli,2
113,9788804586135,http://www.wikidata.org/entity/Q4004052,"Un sabato, con gli amici",,Andrea Camilleri,2
114,9788807886768,http://www.wikidata.org/entity/Q3819659,L'orda d'oro,,Nanni Balestrini,2
115,9788838918605,http://www.wikidata.org/entity/Q3794247,Il giro di boa,,Andrea Camilleri,2
116,9788838922855,http://www.wikidata.org/entity/Q3793235,Il campo del vasaio,,Andrea Camilleri,2
117,9788838918964,http://www.wikidata.org/entity/Q1199855,La presa di Macallè,,Andrea Camilleri,2
118,9788838921612,http://www.wikidata.org/entity/Q3828460,Le ali della sfinge,,Andrea Camilleri,2
119,9788838921445,http://www.wikidata.org/entity/Q3824744,La vampa d'agosto,,Andrea Camilleri,2
120,9788838920547,http://www.wikidata.org/entity/Q3822880,La luna di carta,,Andrea Camilleri,2
121,9788838923333,http://www.wikidata.org/entity/Q3819115,L'età del dubbio,,Andrea Camilleri,2
122,9788804486831,http://www.wikidata.org/entity/Q3772073,Gli arancini di Montalbano,,Andrea Camilleri,2
123,9788838937460,http://www.wikidata.org/entity/Q3824059,La scomparsa di Patò,,Andrea Camilleri,2
124,9788838913440,http://www.wikidata.org/entity/Q3821866,La concessione del telefono,,Andrea Camilleri,2
125,9788427133310,http://www.wikidata.org/entity/Q3792617,Il club dei viaggiatori immaginari,,Pierdomenico Baccalario,2
126,9788804361336,http://www.wikidata.org/entity/Q3819654,L'oracolo,,Valerio Massimo Manfredi,2
127,9788804667001,http://www.wikidata.org/entity/Q3791831,Idi di marzo (Valerio Massimo Manfredi),,Valerio Massimo Manfredi,2
128,9788804667179,http://www.wikidata.org/entity/Q3818745,L'armata perduta,,Valerio Massimo Manfredi,2
129,9788817043649,http://www.wikidata.org/entity/Q3953396,Scusa ma ti voglio sposare,,Federico Moccia,2
130,9788807880766,http://www.wikidata.org/entity/Q4000042,"Tu, mio",,Erri De Luca,2
131,9788889801871,http://www.wikidata.org/entity/Q16578552,Millant'anni,,Giulio Angioni,2
132,9788889801772,http://www.wikidata.org/entity/Q3819688,L'oro di Fraus,,Giulio Angioni,2
133,9788842084099,http://www.wikidata.org/entity/Q48832073,9 agosto 378. Il giorno dei barbari,,Alessandro Barbero,2
134,9788806225940,http://www.wikidata.org/entity/Q7759730,Della Ragion di Stato,,Giovanni Botero,2
135,9788817092159,http://www.wikidata.org/entity/Q104797833,Sangue giusto,,Francesca Melandri,2
136,9788866325512,http://www.wikidata.org/entity/Q55517827,Storia della bambina perduta,,Elena Ferrante,2
137,9788804432142,http://www.wikidata.org/entity/Q48808401,La Delfina Bizantina,,Aldo Busi,2
138,9788876844195,http://www.wikidata.org/entity/Q60045505,Suicidi dovuti,,Aldo Busi,2
139,9788820017064,http://www.wikidata.org/entity/Q60840683,Manuale della perfetta Gentildonna,,Aldo Busi,2
140,9788807880414,http://www.wikidata.org/entity/Q3783095,Hanno tutti ragione,,Paolo Sorrentino,2
141,9788806176136,http://www.wikidata.org/entity/Q3897351,Passo d'addio,,Giovanni Arpino,2
142,9788804720652,http://www.wikidata.org/entity/Q3818743,L'armata dei fiumi perduti,,Carlo Sgorlon,2
143,9788817081375,http://www.wikidata.org/entity/Q3604126,Acciaio (romanzo),,Silvia Avallone,2
144,9788806190965,http://www.wikidata.org/entity/Q185797,Lo spazio bianco,,Valeria Parrella,2
145,9788804668312,http://www.wikidata.org/entity/Q3935985,Rinascimento privato,,Maria Bellonci,2
146,9788806252397,http://www.wikidata.org/entity/Q3227414,Lo stadio di Wimbledon,,Daniele Del Giudice,2
147,9788806234850,http://www.wikidata.org/entity/Q25389425,Staccando l'ombra da terra,,Daniele Del Giudice,2
148,9788882373924,http://www.wikidata.org/entity/Q3772212,Gli universi di Moras,,Vittorio Catani,2
149,9788882373252,http://www.wikidata.org/entity/Q3795393,Il quinto principio,,Vittorio Catani,2
150,9788868528676,http://www.wikidata.org/entity/Q5980174,Io uccido,,Giorgio Faletti,2
151,9788804529279,http://www.wikidata.org/entity/Q3793359,Il castello di Eymerich,,Valerio Evangelisti,2
152,9788804633570,http://www.wikidata.org/entity/Q15931610,La strada verso casa,,Fabio Volo,2
153,9788804667018,http://www.wikidata.org/entity/Q3794227,Il giorno in più,,Fabio Volo,2
154,9788804666974,http://www.wikidata.org/entity/Q3795990,Il tempo che vorrei,,Fabio Volo,2
155,9788806224073,http://www.wikidata.org/entity/Q7728596,La verità sul caso D.,,Franco Lucentini,2
156,9788838908644,http://www.wikidata.org/entity/Q16674527,Sogni di sogni,,Antonio Tabucchi,2
157,9788807887987,http://www.wikidata.org/entity/Q3959946,Si sta facendo sempre più tardi,,Antonio Tabucchi,2
159,9788806187972,http://www.wikidata.org/entity/Q24400368,L'italiano (Sebastiano Vassalli),,Sebastiano Vassalli,2
160,9788806184254,http://www.wikidata.org/entity/Q3699474,Cuore di pietra,,Sebastiano Vassalli,2
161,9788882127350,http://www.wikidata.org/entity/Q24449298,Un nulla pieno di storie,,Sebastiano Vassalli,2
162,9788817081504,http://www.wikidata.org/entity/Q3821740,La chimera (romanzo),,Sebastiano Vassalli,2
163,9788834600474,http://www.wikidata.org/entity/Q85864121,Il colibrì,,Sandro Veronesi,2
164,9788838924545,http://www.wikidata.org/entity/Q3828949,Le perfezioni provvisorie,,Gianrico Carofiglio,2
165,9788838919053,http://www.wikidata.org/entity/Q3604896,Ad occhi chiusi,,Gianrico Carofiglio,2
166,9788838921469,http://www.wikidata.org/entity/Q3929432,Ragionevoli dubbi,,Gianrico Carofiglio,2
167,9788845277368,http://www.wikidata.org/entity/Q2956462,Caos calmo (Romanzo),,Sandro Veronesi,2
168,9788806147419,http://www.wikidata.org/entity/Q3825016,La vita è bella (Ronanzo),,Vincenzo Cerami,2
170,9788806222086,http://www.wikidata.org/entity/Q3844708,Manituana,,Wu Ming,2
171,9788834601976,http://www.wikidata.org/entity/Q26236054,Il poema dei lunatici,,Ermanno Cavazzoni,2
172,9788806219581,http://www.wikidata.org/entity/Q3719898,Educazione siberiana,,Nicolai Lilin,2
173,9788806234843,http://www.wikidata.org/entity/Q4003758,Un destino ridicolo,,Alessandro Gennari,2
174,9788804666578,http://www.wikidata.org/entity/Q3639402,"Bianca come il latte, rossa come il sangue",,Alessandro D'Avenia,2
175,9788838925009,http://www.wikidata.org/entity/Q3878180,Non tutti i bastardi sono di Vienna,,Andrea Molesini,2
176,9788804641995,http://www.wikidata.org/entity/Q47542714,I randagi,,Antonio Moresco,2
177,9788850250929,http://www.wikidata.org/entity/Q3795941,Il suggeritore,,Donato Carrisi,2
178,9788830448292,http://www.wikidata.org/entity/Q80173662,La casa delle voci,,Donato Carrisi,2
179,9788807881114,http://www.wikidata.org/entity/Q3797342,In ogni caso nessun rimorso,,Pino Cacucci,2
180,9788863610246,http://www.wikidata.org/entity/Q3676009,Chuang Tse e il primo imperatore,,Anna Russo,2
181,9788842544609,http://www.wikidata.org/entity/Q3793037,Il baffo del dittatore,,Anna Russo,2
182,9788804685098,http://www.wikidata.org/entity/Q3805583,Jack Frusciante è uscito dal gruppo,,Enrico Brizzi,2
183,9788887825077,http://www.wikidata.org/entity/Q3897238,Passavamo sulla terra leggeri,,Sergio Atzeni,2
184,9788893880107,http://www.wikidata.org/entity/Q3874361,Nel mare ci sono i coccodrilli,,Fabio Geda,2
185,9788842907176,http://www.wikidata.org/entity/Q21190026,Garibaldi a Gettysburg,,Pierfrancesco Prosperi,2
186,9788895249889,http://www.wikidata.org/entity/Q18223276,E duro campo di battaglia il letto,,Una Chi,2
187,9788817055772,http://www.wikidata.org/entity/Q3899571,Per questo mi chiamo Giovanni,,Luigi Garlando,2
188,9788830429154,http://www.wikidata.org/entity/Q3738384,Fai bei sogni,,Massimo Gramellini,2
189,9788806148430,http://www.wikidata.org/entity/Q28919648,I casi del capitano Flores. Killer presunto,,Laura Mancinelli,2
190,9788806145095,http://www.wikidata.org/entity/Q28919526,I casi del capitano Flores. Il mistero della sedia a rotelle,,Laura Mancinelli,2
191,9788806135485,http://www.wikidata.org/entity/Q21190045,Il fantasma di Mozart,,Laura Mancinelli,2
192,9788806197803,http://www.wikidata.org/entity/Q3603919,Accabadora,,Michela Murgia,2
193,9782907563383,http://www.wikidata.org/entity/Q15992599,Amadé,,Laura Mancinelli,2
194,9788841710326,http://www.wikidata.org/entity/Q3749477,Francesca e Nunziata,,Maria Orsini Natale,2
195,9788865306192,http://www.wikidata.org/entity/Q3874449,Nelle nebbie del tempo,,Lanfranco Fabriani,2
196,9788865304921,http://www.wikidata.org/entity/Q18223835,Lungo i vicoli del tempo,,Lanfranco Fabriani,2
197,9788868571429,http://www.wikidata.org/entity/Q40046240,La lunga notte di Exilles. Una sacra rappresentazione,,Laura Mancinelli,2
198,9788809868540,http://www.wikidata.org/entity/Q3877070,Nina e il mistero dell'Ottava Nota,,Moony Witcher,2
199,9788809047402,http://www.wikidata.org/entity/Q3821353,La bambina della Sesta Luna,,Moony Witcher,2
200,9788809791770,http://www.wikidata.org/entity/Q3877071,Nina e l'Occhio Segreto di Atlantide,,Moony Witcher,2
201,9788809060869,http://www.wikidata.org/entity/Q3877073,Nina e la maledizione del Serpente Piumato,,Moony Witcher,2
202,9788854174115,http://www.wikidata.org/entity/Q3794656,Il mercante di libri maledetti,,Marcello Simoni,2
203,9788806226725,http://www.wikidata.org/entity/Q60848293,Le otto montagne,,Paolo Cognetti,2
204,9788851800680,http://www.wikidata.org/entity/Q21190094,Lo stato dell'unione,,Tullio Avoledo,2
205,9788854147928,http://www.wikidata.org/entity/Q15710243,Ti prego lasciati odiare,,Anna Premoli,2
206,9788806237417,http://www.wikidata.org/entity/Q52618378,Resto qui,,Marco Balzano,2
207,9788806162764,http://www.wikidata.org/entity/Q3875460,New Thing,,Wu Ming 1,2
208,9788806232108,http://www.wikidata.org/entity/Q48805799,L'Arminuta,,Donatella Di Pietrantonio,2
209,9788806186944,http://www.wikidata.org/entity/Q3972939,Stella del mattino,,Wu Ming 4,2
210,9788806221003,http://www.wikidata.org/entity/Q30889020,La sostanza del male,,Luca D’Andrea,2
211,9788807032691,http://www.wikidata.org/entity/Q64841098,Le assaggiatrici,,Rosella Postorino,2
212,9782020081818,http://www.wikidata.org/entity/Q3972931,Stella cadente (romanzo),,Alberto Costantini,2
213,9788842931539,http://www.wikidata.org/entity/Q66686091,I leoni di Sicilia,,Stefania Auci,2
214,9788806234843,http://www.wikidata.org/entity/Q4003758,Un destino ridicolo,,Fabrizio De André,2
